STATION CODE CURRENT STATION NAME X-COORD Y-COORD
DESST|Desert Station|509477|3527152
NE|Northeast|515790|3530174
LIMST|Limestone|517630|3526924
FAGAN|Fagan|519250.500000|3531291.500000
GRARI|Gravelly Ridge|504610|3522581
MUHLE|Muhlenbergia|511497|3523143
RODEN|Rodent|510976|3519482
ROAD|Road|510924|3517746
131|Encl. No. 131|509613.500000|3518165.250000
AMADO|Amado|505118|3518954
41|Enclosure 41|508427|3516276
WHITE|Whitehouse|510682|3514708
DESRI|Desert Rim|514225|3526578
HUERF|Huerfano|516757|3524558
RUELA|Ruelas|518263|3521549
ERIOP|Eriopoda|514866|3522461
45|Enclosure 45|513118|3520276
BOX|Box|514966|3519397
ROBIN|Robinson|518192.031250|3518143.250000
DESGR|Desert Grassland|513203|3516502
PARKE|Parker|516535|3516550
FORES|Forest|514272|3515113
FLORI|Florida|514559.906250|3513977.250000
NW|Northwest|509380|3529024
164|Enclosure 164|512190|3528323
JOHNS|Johnson Ranch|520306.000000|3529330.500000
191|191|518009.406250|3529256.250000
192|192|518445.718750|3528455.500000
CHOLL|Cholla|514847.687500|3528361.250000
SCS#1|SCS #1|509785.375000|3530403.750000
SCS5N|SCS-5N|509340.250000|3527730.500000
163|163|511318.718750|3527383.000000
161|161|509957.218750|3525279.250000
PAST3|Pasture 3|507740|3524472
HUGHE|Hughes|508303.531250|3524411.500000
155|155|507699.843750|3522539.250000
149|149|514117.156250|3524084.750000
120|120|515119.593750|3522919.500000
117|117|513480.875000|3522306.000000
205|Enclosure 205|514253.531250|3521992.250000
118|118|514420.468750|3521931.250000
222|222|512539.437500|3521435.500000
169|169|518025.250000|3523435.250000
119|119|515866.437500|3521896.500000
166|166|516310.500000|3521477.000000
NRNCH|North Ranch|518783.875000|3521817.500000
124|124|517853.531250|3520016.000000
18|Enclosure 18|517939.218750|3519793.500000
123|123|517724.062500|3519222.250000
121|121|517983.656250|3518050.500000
122|122|517094.062500|3517252.250000
AIRST|Airstrip|516169.906250|3518509.000000
IBP|IBP|515885|3518213
152|152|515684.812500|3518232.250000
115|115|514518.218750|3518712.500000
223|223|514086.468750|3519014.250000
130|130|513444.312500|3519067.750000
116|116|513814.062500|3519768.250000
114|114|511889.343750|3518173.500000
113|113|510771.625000|3518633.500000
140|140|509672.437500|3518875.750000
SW|Southwest|508141|3519998
187|187|506683.718750|3518980.000000
188|188|503640.218750|3521055.250000
185|185|508574.125000|3517110.750000
125|125|508482.562500|3516039.500000
184|184|509330.968750|3515271.500000
WATRE|Water Retention|511136.062500|3517435.250000
228|228|511869.218750|3516903.000000
111|111|512030.906250|3517015.000000
PA11A|Pasture 11A|511856.531250|3516326.750000
110|110|512283.718750|3516534.250000
112|112|513124.062500|3516704.500000
229|229|515900.531250|3516119.500000
MCGIB|McGibbon|517687.125000|3515337.750000
